id	D	no	dance	path
192	366	7	ländler	D366ländler07.mscx
193	366	8	ländler	D366ländler08.mscx
194	366	9	ländler	D366ländler09.mscx
195	366	10	ländler	D366ländler10.mscx
196	366	11	ländler	D366ländler11.mscx
197	366	12	ländler	D366ländler12.mscx
198	366	13	ländler	D366ländler13.mscx
199	366	14	ländler	D366ländler14.mscx
200	366	15	ländler	D366ländler15.mscx
201	366	16	ländler	D366ländler16.mscx
202	366	17	ländler	D366ländler17.mscx
203	378	1	ländler	D378ländler01.mscx
204	378	2	ländler	D378ländler02.mscx
205	378	3	ländler	D378ländler03.mscx
206	378	4	ländler	D378ländler04.mscx
207	378	5	ländler	D378ländler05.mscx
208	378	6	ländler	D378ländler06.mscx
209	378	7	ländler	D378ländler07.mscx
210	378	8	ländler	D378ländler08.mscx
211	380	1	menuett	D380menuett01a.mscx
212	380	1	trioi	D380trioI01b.mscx
213	380	1	trioii	D380trioII01c.mscx
214	380	2	menuett	D380menuett02a.mscx
215	380	2	trioi	D380trioI02b.mscx
216	380	2	trioii	D380trioII02c.mscx
217	380	3	menuett	D380menuett03.mscx
218	420	1	deutscher	D420deutscher01.mscx
219	420	2	deutscher	D420deutscher02.mscx
220	420	3	deutscher	D420deutscher03.mscx
221	420	4	deutscher	D420deutscher04.mscx
222	420	5	deutscher	D420deutscher05.mscx
223	420	6	deutscher	D420deutscher06.mscx
224	420	7	deutscher	D420deutscher07.mscx
225	420	8	deutscher	D420deutscher08.mscx
226	420	9	deutscher	D420deutscher09.mscx
227	420	10	deutscher	D420deutscher10.mscx
228	420	11	deutscher	D420deutscher11.mscx
229	420	12	deutscher	D420deutscher12.mscx
230	421	2	ecossaise	D421ecossaise02.mscx
231	421	3	ecossaise	D421ecossaise03.mscx
232	421	4	ecossaise	D421ecossaise04.mscx
233	421	5	ecossaise	D421ecossaise05.mscx
234	421	6	ecossaise	D421ecossaise06.mscx
235	511	1	ecossaise	D511ecossaise01.mscx
236	529	1	ecossaise	D529ecossaise01.mscx
237	529	2	ecossaise	D529ecossaise02.mscx
238	529	4	ecossaise	D529ecossaise04.mscx
239	529	5	ecossaise	D529ecossaise05.mscx
240	529	6	ecossaise	D529ecossaise06.mscx
241	529	7	ecossaise	D529ecossaise07.mscx
242	529	8	ecossaise	D529ecossaise08.mscx
243	600	1	menuett	D600menuett01.mscx
244	610	1	trio	D610trio01.mscx
245	643	1	deutscher	D643deutscher01.mscx
246	643	1	ecossaise	D643ecossaise01.mscx
247	681	1	ländler	D681ländler01.mscx
248	681	2	ländler	D681ländler02.mscx
249	681	3	ländler	D681ländler03.mscx
250	681	4	ländler	D681ländler04.mscx
251	681	5	ländler	D681ländler05.mscx
252	681	6	ländler	D681ländler06.mscx
253	681	7	ländler	D681ländler07.mscx
254	681	8	ländler	D681ländler08.mscx
255	697	1	ecossaise	D697ecossaise01.mscx
256	697	2	ecossaise	D697ecossaise02.mscx
257	697	3	ecossaise	D697ecossaise03.mscx
258	697	4	ecossaise	D697ecossaise04.mscx
259	697	5	ecossaise	D697ecossaise05.mscx
260	718	1	walzer	D718walzer01.mscx
261	722	1	deutscher	D722deutscher01.mscx
262	734	1	ländler	D734ländler01.mscx
263	734	2	ländler	D734ländler02.mscx
264	734	3	ländler	D734ländler03.mscx
265	734	4	ländler	D734ländler04.mscx
266	734	5	ländler	D734ländler05.mscx
267	734	6	ländler	D734ländler06.mscx
268	734	7	ländler	D734ländler07.mscx
269	734	8	ländler	D734ländler08.mscx
270	734	9	ländler	D734ländler09.mscx
271	734	10	ländler	D734ländler10.mscx
272	734	11	ländler	D734ländler11.mscx
273	734	12	ländler	D734ländler12.mscx
274	734	13	ländler	D734ländler13.mscx
275	734	14	ländler	D734ländler14.mscx
276	734	15	ländler	D734ländler15.mscx
277	734	16	ländler	D734ländler16.mscx
278	734	1	ecossaise	D734ecossaise01.mscx
279	734	2	ecossaise	D734ecossaise02.mscx
280	735	1	galopp	D735galopp01a.mscx
281	735	1	trio	D735trio01b.mscx
282	735	1	ecossaise	D735ecossaise01.mscx
283	735	2	ecossaise	D735ecossaise02.mscx
284	735	3	ecossaise	D735ecossaise03.mscx
285	735	4	ecossaise	D735ecossaise04.mscx
286	735	5	ecossaise	D735ecossaise05.mscx
287	735	6	ecossaise	D735ecossaise06.mscx
288	735	7	ecossaise	D735ecossaise07.mscx
289	735	8	ecossaise	D735ecossaise08.mscx
290	769	1	deutscher	D769deutscher01.mscx
291	769	2	deutscher	D769deutscher02.mscx
292	779	1	walzer	D779walzer01.mscx
293	779	2	walzer	D779walzer02.mscx
294	779	3	walzer	D779walzer03.mscx
295	779	4	walzer	D779walzer04.mscx
296	779	5	walzer	D779walzer05.mscx
297	779	6	walzer	D779walzer06.mscx
298	779	7	walzer	D779walzer07.mscx
299	779	8	walzer	D779walzer08.mscx
300	779	9	walzer	D779walzer09.mscx
301	779	10	walzer	D779walzer10.mscx
302	779	11	walzer	D779walzer11.mscx
303	779	12	walzer	D779walzer12.mscx
304	779	13	walzer	D779walzer13.mscx
305	779	14	walzer	D779walzer14.mscx
306	779	15	walzer	D779walzer15.mscx
307	779	16	walzer	D779walzer16.mscx
308	779	17	walzer	D779walzer17.mscx
309	779	18	walzer	D779walzer18.mscx
310	779	19	walzer	D779walzer19.mscx
