id,Ta,TaTa,TaTaTa,TaTaTi,TaTaTigitigi,TaTaTimgi,TaTaTimgiri,TaTaTiti,TaTaTitigi,TaTaTriole,TaTaiti,TaTano,TaTao,TaTi,TaTimgiTa,TaTimgiTimgi,TaTimgiTiti,TaTiti,TaTitiTa,TaTitiTi,TaTitiTiti,TaTitigiTigitigi,TaTrioleTa,Tai,Taiti,TaitiTa,TaitiTimgi,TaitiTiti,TaitigiTigitigi,Tanogi,Tao,TaoTa,TaoTigitigi,TaoTimgi,TaoTimgiri,TaoTiti,TaoTriole,Taoa,Taono,TigimTi,TigimTitiTiti,Tigimgim,Tigitigi,TigitigiTa,TigitigiTaTa,TigitigiTi,TigitigiTigitigi,TigitigiTigitigiTigitigi,TigitigiTiti,Timgi,TimgiTa,TimgiTaTa,TimgiTaTigitigi,TimgiTaTimgi,TimgiTaTiti,TimgiTaiti,TimgiTi,TimgiTimgiTimgi,TimgiTiti,TimgiTitiTiti,Timgiri,TimgiriTa,TimgiriTiti,TinotigiTigitigi,Titi,TitiTa,TitiTaTa,TitiTaTi,TitiTaTimgi,TitiTaTiti,TitiTao,TitiTi,TitiTiti,TitiTitiTa,TitiTitiTi,TitiTitiTimgi,TitiTitiTiti,TitiTitino,TitigiTa,TitigiTi,TitigiTigitigi,TitigiTiti,TitigiTitigi,Triole,no,nogiTimgi,nogiTiti
47,,,0.0625,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.0625,0.0625,,,,,,0.0625,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.375,,,,,,,,,,
48,0.125,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5625,,,,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,0.125,,,,,,,,,,
49,0.125,,0.1875,,,,,,,,,,0.125,,,,,,0.6875,,,,,,,,,,,,0.125,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,,,,,,,,,,
50,,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,0.5625,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5625,,,,,,,,,,
51,0.125,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.75,,,,,,,,,,
52,,,0.4375,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,0.125,0.25,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,1.125,,,,,,,,,,
53,0.125,,0.25,,,,,,,,,,,,0.0625,,,,0.1875,,,,,,,,,,,,,0.5625,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,
54,0.125,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,0.5625,,,0.5625,,,,,,,,,,
55,0.0625,0.0625,0.4375,,,,,,,,,,,,,,,,0.0625,,0.125,,,,,,,,,,,0.125,,,,,,0.0625,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.0625,,,0.125,,,,,,,,,,
56,0.0625,,0.4375,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,0.375,,0.3125,,,,0.125,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8125,,,,,,,,,,
