id	segment_id	bass	intervals	onbeat	offbeat	labels	next	next_bass	next_label
319	12	Eb	('M3', 'P4', 'P5')	('M3', 'P5')	('P4',)	major	(319, 13)	B	dominant65
319	13	B	('m3', 'D5', 'm6')	('m3', 'D5', 'm6')	('m6',)	dominant65	(319, 14)	C	major
319	14	C	('A2', 'M3', 'A4', 'P5')	('A2', 'M3', 'A4', 'P5')	('M3',)	major	(319, 15)	G	dominant7
319	15	G	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'M6', 'm7')	('M6',)	dominant7	(319, 16)	C	major
319	16	C	('M3', 'P5')	('M3', 'P5')	()	major			
320	1	G	('M2', 'M3', 'P4', 'P5', 'm7')	('M3', 'P4', 'P5', 'm7')	('M2', 'P4', 'P5')	dominant7	(320, 2)	G	dominant7
320	2	G	('M3', 'm7')	('M3', 'm7')	('M3',)	dominant7	(320, 3)	C	major
320	3	C	('M3', 'P5', 'M6')	('M3', 'P5')	('M3', 'P5', 'M6')	major	(320, 4)	C	major
320	4	C	('M3', 'P4', 'P5', 'M6')	('M3', 'P4', 'P5')	('M6',)	major	(320, 5)	G	dominant7
320	5	G	('M2', 'M3', 'P4', 'P5', 'm7')	('M3', 'P5', 'm7')	('M2', 'P4', 'P5')	dominant7	(320, 6)	G	dominant7
320	6	G	('M2', 'M3', 'P4', 'P5', 'm7')	('M3', 'P4', 'P5', 'm7')	('M2', 'M3')	dominant7	(320, 7)	G	major64
320	7	G	('P4', 'P5', 'M6', 'm7')	('P4', 'M6', 'm7')	('P4', 'P5', 'M6')	major64	(320, 8)	C	major
320	8	C	('M2', 'M3', 'P5', 'M7')	('M3', 'P5', 'M7')	('M2', 'P5', 'M7')	major	(320, 9)	D	dominant7
320	9	D	('M3', 'A4', 'P5', 'M6', 'm7')	('M3', 'A4', 'P5', 'M6', 'm7')	('M3', 'P5')	dominant7	(320, 10)	G	major
320	10	G	('A2', 'M3', 'P5', 'M7')	('A2', 'M3', 'P5', 'M7')	('M3', 'P5')	major	(320, 11)	C	minor6
320	11	C	('M2', 'M3', 'A5', 'M6', 'M7')	('M2', 'M3', 'A5', 'M6', 'M7')	('M3',)	minor6	(320, 12)	A	minor
320	12	A	('m3', 'P5')	('m3', 'P5')	('m3', 'P5')	minor	(320, 13)	B	minor7
320	13	B	('m3', 'P5', 'm6', 'm7')	('m3', 'm7')	('m3', 'P5', 'm6')	minor7	(320, 14)	C	major
320	14	C	('M3', 'A4', 'P5', 'M6', 'M7')	('M3', 'A4', 'M7')	('M3', 'P5', 'M6')	major	(320, 15)	D	dominant7
