id	mc	section	keysig	timesig	duration	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	mn	next
10	13	1	-2	3/4	3/4	3/4	0	2						12	[14]
10	14	1	-2	3/4	3/4	3/4	0	3						13	[15]
10	15	1	-2	3/4	3/4	3/4	0	3						14	[16]
10	16	1	-2	3/4	3/4	3/4	0	3						15	[17]
10	17	1	-2	3/4	3/4	1/2	0	2	endRepeat					16	[9]
11	0	0	-2	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
11	1	0	-2	3/4	3/4	3/4	0	2						1	[2]
11	2	0	-2	3/4	3/4	3/4	0	2						2	[3]
11	3	0	-2	3/4	3/4	3/4	0	2						3	[4]
11	4	0	-2	3/4	3/4	3/4	0	2						4	[5]
11	5	0	-2	3/4	3/4	3/4	0	2						5	[6]
11	6	0	-2	3/4	3/4	3/4	0	2						6	[7]
11	7	0	-2	3/4	3/4	3/4	0	2						7	[8]
11	8	0	-2	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
11	9	1	-2	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
11	10	1	-2	3/4	3/4	3/4	0	2						9	[11]
11	11	1	-2	3/4	3/4	3/4	0	2						10	[12]
11	12	1	-2	3/4	3/4	3/4	0	2						11	[13]
11	13	1	-2	3/4	3/4	3/4	0	2						12	[14]
11	14	1	-2	3/4	3/4	3/4	0	2						13	[15]
11	15	1	-2	3/4	3/4	3/4	0	2						14	[16]
11	16	1	-2	3/4	3/4	3/4	0	2						15	[17]
11	17	1	-2	3/4	3/4	1/2	0	2	endRepeat					16	[9]
12	0	0	-2	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
12	1	0	-2	3/4	3/4	3/4	0	3						1	[2]
12	2	0	-2	3/4	3/4	3/4	0	2						2	[3]
12	3	0	-2	3/4	3/4	3/4	0	2						3	[4]
12	4	0	-2	3/4	3/4	3/4	0	2						4	[5]
12	5	0	-2	3/4	3/4	3/4	0	3						5	[6]
12	6	0	-2	3/4	3/4	3/4	0	2						6	[7]
12	7	0	-2	3/4	3/4	3/4	0	2						7	[8]
12	8	0	-2	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
12	9	1	-2	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
12	10	1	-2	3/4	3/4	3/4	0	2						9	[11]
12	11	1	-2	3/4	3/4	3/4	0	2						10	[12]
12	12	1	-2	3/4	3/4	3/4	0	2						11	[13]
12	13	1	-2	3/4	3/4	3/4	0	2						12	[14]
12	14	1	-2	3/4	3/4	3/4	0	3						13	[15]
12	15	1	-2	3/4	3/4	3/4	0	2						14	[16]
12	16	1	-2	3/4	3/4	3/4	0	2						15	[17]
12	17	1	-2	3/4	3/4	1/2	0	2	endRepeat					16	[9]
13	0	0	-1	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
13	1	0	-1	3/4	3/4	3/4	0	2						1	[2]
13	2	0	-1	3/4	3/4	3/4	0	2						2	[3]
13	3	0	-1	3/4	3/4	3/4	0	2						3	[4]
13	4	0	-1	3/4	3/4	3/4	0	2						4	[5]
13	5	0	-1	3/4	3/4	3/4	0	2						5	[6]
13	6	0	-1	3/4	3/4	3/4	0	2						6	[7]
13	7	0	-1	3/4	3/4	3/4	0	2						7	[8]
13	8	0	-1	3/4	3/4	1/2	0	2	endRepeat					8	[9, 0]
13	9	1	-1	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
13	10	1	-1	3/4	3/4	3/4	0	4						9	[11]
13	11	1	-1	3/4	3/4	3/4	0	4						10	[12]
13	12	1	-1	3/4	3/4	3/4	0	2						11	[13]
13	13	1	-1	3/4	3/4	3/4	0	2						12	[14]
13	14	1	-1	3/4	3/4	3/4	0	2						13	[15]
13	15	1	-1	3/4	3/4	3/4	0	2						14	[16]
13	16	1	-1	3/4	3/4	3/4	0	2						15	[17]
13	17	1	-1	3/4	3/4	3/4	0	2						16	[18]
13	18	1	-1	3/4	3/4	3/4	0	2						17	[19]
13	19	1	-1	3/4	3/4	3/4	0	3						18	[20]
13	20	1	-1	3/4	3/4	3/4	0	2						19	[21]
13	21	1	-1	3/4	3/4	1/2	0	2	endRepeat					20	[9]
14	0	0	-1	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
14	1	0	-1	3/4	3/4	3/4	0	2						1	[2]
14	2	0	-1	3/4	3/4	3/4	0	2						2	[3]
14	3	0	-1	3/4	3/4	3/4	0	4						3	[4]
14	4	0	-1	3/4	3/4	3/4	0	4						4	[5]
14	5	0	-1	3/4	3/4	3/4	0	4						5	[6]
14	6	0	-1	3/4	3/4	3/4	0	4						6	[7]
14	7	0	-1	3/4	3/4	3/4	0	4						7	[8]
14	8	0	-1	3/4	3/4	1/2	0	4	endRepeat					8	[9, 0]
14	9	1	-1	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
14	10	1	-1	3/4	3/4	3/4	0	2						9	[11]
14	11	1	-1	3/4	3/4	3/4	0	2						10	[12]
14	12	1	-1	3/4	3/4	3/4	0	2						11	[13]
14	13	1	-1	3/4	3/4	3/4	0	2						12	[14]
14	14	1	-1	3/4	3/4	3/4	0	2						13	[15]
14	15	1	-1	3/4	3/4	3/4	0	2						14	[16]
14	16	1	-1	3/4	3/4	3/4	0	2						15	[17]
14	17	1	-1	3/4	3/4	3/4	0	2						16	[18]
14	18	1	-1	3/4	3/4	3/4	0	3						17	[19]
14	19	1	-1	3/4	3/4	3/4	0	3						18	[20]
