rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ambitus	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	D145ländler04	18	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	44-94 (Ab2-Bb6)		68-94 (Ab4-Bb6)	Piano	44-66 (Ab2-Gb4)	Piano
MS3	D145ländler05	16	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	44-92 (Ab2-Ab6)		65-92 (F4-Ab6)	Piano	44-66 (Ab2-Gb4)	Piano
MS3	D145ländler06	18	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	44-94 (Ab2-Bb6)		65-94 (F4-Bb6)	Piano	44-66 (Ab2-Gb4)	Piano
MS3	D145ländler07	18	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	44-87 (Ab2-Eb6)		68-87 (Ab4-Eb6)	Piano	44-66 (Ab2-Gb4)	Piano
MS3	D145ländler08	18	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	41-89 (F2-F6)		65-89 (F4-F6)	Piano	41-66 (F2-Gb4)	Piano
MS3	D145ländler09	18	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	44-94 (Ab2-Bb6)		65-94 (F4-Bb6)	Piano	44-66 (Ab2-Gb4)	Piano
MS3	D145ländler10	16	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	44-90 (Ab2-Gb6)		65-90 (F4-Gb6)	Piano	44-66 (Ab2-Gb4)	Piano
MS3	D145ländler11	16	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	42-94 (Gb2-Bb6)		65-94 (F4-Bb6)	Piano	42-66 (Gb2-Gb4)	Piano
MS3	D145ländler12	18	16	1: -5	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	34-94 (Bb1-Bb6)		77-94 (F5-Bb6)	Piano	34-66 (Bb1-Gb4)	Piano
MS3	D145ländler13	16	16	1: 3	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	Linux			3.3.0	40-88 (E2-E6)		64-88 (E4-E6)	Piano	40-74 (E2-D5)	Piano
